級分,國文,英文,數學A,數學B,社會,自然
60,0.63,0.72,0.54,0.64,0.73,0.76
59,1.15,1.31,0.6,0.89,1.39,1.36
58,1.81,2.08,0.89,1.37,2.01,2.14
57,2.64,3.14,1.07,1.49,2.73,3.04
56,3.98,4.51,1.64,2.34,3.94,4.58
55,5.9,6.03,2,2.74,5.36,6.23
54,8.36,7.59,2.71,3.51,7.04,8.02
53,10.91,9.37,3.01,4.67,9,9.96
52,14.34,11.33,4.15,5.4,11.38,12.37
51,18.14,13.54,4.65,6.72,13.84,14.76
50,22.09,15.53,5.87,7.53,16.56,17.14
49,26.59,17.49,6.55,9.1,19.37,19.67
48,31.4,19.62,8.15,9.9,22.53,22.69
47,36.25,21.74,10.01,11.84,25.85,25.24
46,40.9,24.01,10.91,12.67,29.29,27.86
45,45.9,26.05,12.83,14.62,32.64,30.6
44,50.78,28.29,13.99,15.47,36.45,33.67
43,55.12,30.31,16.44,17.44,40.27,36.52
42,59.64,32.38,17.54,18.47,44.06,39.4
41,63.75,34.66,19.83,20.58,47.9,42.15
40,68.25,36.8,21.25,22.88,51.88,44.93
39,72.19,38.74,24.18,24.03,55.41,47.54
38,75.71,40.66,25.53,26.48,59.12,49.94
37,78.86,42.52,28.19,27.59,62.66,52.4
36,82.15,44.65,31.25,30.23,66.07,55.09
35,84.92,46.54,32.78,31.46,69.26,57.77
34,87.16,48.54,35.72,34.12,72.46,60.35
33,89.22,50.5,37.42,35.45,75.42,62.82
32,91.01,52.44,40.58,38.21,78.21,65.31
31,92.58,54.46,42.23,39.59,80.58,68.09
30,93.76,56.33,45.61,42.29,83.87,70.62
29,94.84,58.42,47.07,43.83,85.98,73.03
28,95.76,60.64,50.43,46.92,87.98,75.38
27,96.53,62.76,52.04,49.81,89.69,77.73
26,97.19,64.91,55.28,51.44,91.18,79.97
25,97.67,67.06,56.95,54.55,92.45,82.14
24,98.07,69.19,60.36,56.17,93.62,84.16
23,98.41,71.37,63.99,59.63,94.63,86.18
22,98.71,73.37,65.91,61.37,95.51,88.12
21,98.91,75.65,69.3,64.62,96.36,89.92
20,99.12,77.8,71.07,66.39,96.99,91.63
19,99.28,79.88,74.58,70.07,97.58,93.1
18,99.46,82.19,76.26,71.75,98.15,94.38
17,99.54,84.34,79.6,75.12,98.53,95.61
16,99.64,86.5,81.29,76.82,98.85,96.59
15,99.69,88.53,84.51,80.3,99.17,97.55
14,99.76,90.62,86.13,83.78,99.39,98.34
13,99.8,92.57,89.02,85.39,99.62,98.93
12,99.84,94.37,91.61,88.37,99.75,99.31
11,99.87,96.19,92.9,89.85,99.85,99.6
10,99.91,97.63,95.2,92.57,99.92,99.8
9,99.94,98.49,96.15,93.69,99.96,99.91
8,99.96,99.22,97.68,95.94,99.97,99.93
7,99.97,99.61,98.3,96.68,99.99,99.97
6,99.98,99.86,99.1,98.03,100,99.98
5,99.99,99.95,99.38,98.55,100,99.99
4,99.99,99.98,99.76,99.3,100,99.99
3,100,99.99,99.85,99.49,100,99.99
2,100,99.99,99.95,99.8,100,100
1,100,99.99,99.99,99.95,100,100
0,100,100,100,100,100,100