級分,數學甲,數學乙,化學,物理,生物,歷史,地理,公民與社會
60,0.6,1.58,0.84,0.98,0.86,0.7,0.8,0.66
59,0.95,2.82,1.45,1.89,1.67,1.18,1.17,1.09
58,1.34,2.94,2.14,2.7,2.91,1.7,2.44,1.5
57,1.67,5.15,3,3.88,4.33,2.36,3.32,2.2
56,2.25,6.64,3.98,5.46,6.13,3.1,5.22,3.08
55,2.76,7.71,5.15,6.72,7.81,4.2,7.68,3.91
54,3.42,9.71,6.68,8.37,10.22,5.37,9.19,5.09
53,4.26,11.29,8.22,9.77,12.74,7.13,12.01,6.57
52,5.16,12.99,10.12,12.11,15.1,8.7,13.62,8.42
51,6.27,14.54,11.92,13.88,17.59,10.75,16.65,10.18
50,7.25,16.38,13.79,15.54,19.39,12.89,18.24,12.64
49,8.46,18.04,15.82,17.31,21.57,15.19,21.65,14.83
48,9.66,19.98,18.07,19.67,23.76,17.61,23.75,17.11
47,10.98,21.46,19.88,21.42,26.02,20.47,27.47,19.91
46,12.42,23.02,21.96,23.19,27.76,23.2,29.39,22.52
45,13.98,24.83,23.93,24.62,29.96,26.58,33.51,25.6
44,15.81,26.19,26.01,26.43,32.19,29.88,35.53,28.21
43,17.43,27.64,28.13,28.7,34.19,33.43,39.64,31.53
42,19.45,29.54,30.28,30.26,36.36,37.07,41.8,34.24
41,21.11,31.05,32.55,32.05,38.05,41.08,46.29,37.89
40,23.28,32.67,34.57,33.68,40.35,44.63,48.7,41.22
39,25.14,34.5,36.69,35.9,42.35,48.55,53.07,44.48
38,27.22,36.07,38.74,37.57,44.47,52.23,55,48.19
37,29.31,37.56,40.88,39.38,46.44,56.23,59.58,50.99
36,31.24,39.7,43.16,41.13,48.8,60.02,61.63,54.98
35,33.38,41.53,45.36,43.45,51.14,64.25,65.89,58.75
34,35.52,43.47,47.42,45.17,53.77,68.1,68.14,62.13
33,37.38,45.55,49.56,47.07,56.18,71.49,72.16,65.57
32,39.75,47.3,51.37,48.78,58.58,75.17,74.12,68.78
31,41.75,49.23,53.59,51.29,61.18,78.32,77.74,72.34
30,44.08,51.59,56,53.33,64.11,81.36,79.63,75.14
29,46.26,53.35,58.27,55.21,66.64,83.96,82.87,78.49
28,48.52,55.25,60.55,57.35,69.09,86.49,85.81,81.12
27,50.98,57.68,62.77,59.12,72,88.66,87.17,83.71
26,53.36,59.62,65.27,62.04,74.92,90.61,89.55,85.88
25,55.69,61.6,67.71,64.42,78.08,92.42,90.58,87.83
24,57.9,63.92,70.02,66.58,80.78,94.06,92.6,89.94
23,60.15,65.9,72.4,69.03,83.43,95.22,93.59,91.93
22,62.32,67.98,74.93,72.43,85.85,96.37,95.05,93.1
21,64.58,70.24,77.12,74.81,88.02,97.09,95.54,94.49
20,66.75,72.33,79.55,77.69,90.08,97.82,96.79,95.37
19,69.13,74.2,81.74,79.8,91.59,98.44,97.41,96.46
18,71.75,76.62,84.08,83.28,93.34,98.86,98.25,97.38
17,74.03,78.5,86.35,85.9,94.86,99.1,98.45,97.88
16,76.58,80.53,87.92,87.83,96.18,99.42,98.85,98.56
15,79.07,82.69,90.07,90.43,97.23,99.66,99.14,98.84
14,81.76,84.64,92.07,92.06,97.96,99.76,99.41,99.23
13,84.32,86.39,93.74,94.38,98.6,99.87,99.46,99.48
12,86.63,88.42,95.3,96.18,99.11,99.92,99.64,99.68
11,89.04,90.37,96.53,97.09,99.41,99.94,99.76,99.82
10,91.14,92.07,97.54,98.11,99.57,99.95,99.87,99.87
9,93.15,93.81,98.41,98.93,99.76,99.97,99.87,99.93
8,94.92,95.07,99.03,99.22,99.84,99.98,99.93,99.95
7,96.27,96.44,99.44,99.57,99.9,99.98,99.95,99.97
6,97.57,97.51,99.7,99.73,99.92,99.99,99.97,99.98
5,98.55,98.32,99.87,99.86,99.93,99.99,99.97,99.98
4,99.26,98.95,99.94,99.93,99.93,99.99,99.97,99.98
3,99.74,99.48,99.98,99.94,99.94,99.99,99.97,99.98
2,99.92,99.68,99.99,99.96,99.94,100,99.97,99.98
1,99.92,99.88,99.99,99.97,99.94,100,99.97,99.98
0,100,100,100,100,100,100,100,100